a7,rouge,geo_stratum,jontax,stratum_jon,commune,joncomp2016,chef_collect_types,chef_collect_ever,salongo_freq,chef_collect_proptax_ever,appoint_yr,chef_stratum,chef_collect_stratum,stratum,stratum_count,treatment,rand1,rank1,count1,numtoselect1_control,probleft2_control,rand2,probleft3_control,numtoselect1_central,probleft2_central,probleft3_central,numtoselect1_local,probleft2_local,probleft3_local,numtoselect1_centralwinfo,probleft2_centralwinfo,numtoselect1_centralxlocal,probleft2_centralxlocal,probleft3_centralwinfo,rand3,order_treatment
676.0,0.0,11.0,1.0,14.0,5.0,2.0,0.3333333333333333,0.3333333333333333,2.3333333333333335,1.0,2005.3333333333333,2.0,2.0,30.0,8.0,0.0,0.8998656011158211,8.0,8.0,0.1123595505617976,0.1123595505617976,0.8998656011158211,,,,,,,,,,,,,0.8965640681747423,5.0
587.0,1.0,9.0,0.0,12.0,5.0,1.0,0.0,0.0,4.0,0.5666666666666667,2006.0,1.0,1.0,22.0,6.0,0.0,0.843469954469965,6.0,6.0,0.0842696629213482,0.0842696629213482,0.843469954469965,,,,,,,,,,,,,0.6711447671858547,4.0
101.0,0.0,1.0,0.0,3.0,1.0,1.0,0.16666666666666666,0.16666666666666666,3.6666666666666665,1.0,2009.6666666666667,1.0,2.0,2.0,6.0,0.0,0.8644653005382822,6.0,6.0,0.0842696629213482,0.0842696629213482,0.8644653005382822,,,,,,,,,,,,,0.6350327750647572,3.0
589.0,0.0,9.0,0.0,10.0,5.0,1.0,0.16666666666666666,0.16666666666666666,4.0,1.0,2013.6666666666667,2.0,2.0,23.0,5.0,0.0,0.6885254879700146,5.0,5.0,0.0702247191011235,0.0702247191011235,0.6885254879700146,,,,,,,,,,,,,0.42951511352687655,2.0
320.0,0.0,3.0,0.0,32.0,3.0,1.0,0.5,0.3333333333333333,3.8333333333333335,0.3333333333333333,2001.8333333333333,2.0,2.0,7.0,5.0,0.0,0.9130950893854356,5.0,5.0,0.0702247191011235,0.0702247191011235,0.9130950893854356,,,,,,,,,,,,,0.17887508256591478,1.0
672.0,0.0,12.0,1.0,13.0,5.0,1.0,0.0,0.0,3.3333333333333335,1.0,2013.0,2.0,1.0,32.0,19.0,1.0,0.17085334302073052,3.0,19.0,0.2668539325842693,0.2668539325842693,0.17085334302073052,,5.954415954415955,0.9544159544159552,,,,,,,,,,0.16648393082507618,17.0
571.0,0.0,12.0,1.0,11.0,5.0,2.0,0.3333333333333333,0.3333333333333333,3.1666666666666665,1.0,2001.0,2.0,1.0,32.0,19.0,1.0,0.1042543219024773,1.0,19.0,0.2668539325842693,0.2668539325842693,0.1042543219024773,,5.954415954415955,0.9544159544159552,,,,,,,,,,0.6515571615166925,67.0
569.0,0.0,12.0,1.0,10.0,5.0,2.0,0.75,0.75,2.75,1.0,2008.25,2.0,1.0,32.0,19.0,1.0,0.22231914915699258,5.0,19.0,0.2668539325842693,0.2668539325842693,0.22231914915699258,,5.954415954415955,0.9544159544159552,,,,,,,,,,0.8644653005382822,94.0
545.0,0.0,12.0,1.0,9.0,5.0,2.0,0.5,0.3333333333333333,5.0,1.0,2011.5,2.0,1.0,32.0,19.0,1.0,0.11919583207627926,2.0,19.0,0.2668539325842693,0.2668539325842693,0.11919583207627926,,5.954415954415955,0.9544159544159552,,,,,,,,,,0.46041091379827337,46.0
521.0,0.0,12.0,1.0,7.0,5.0,2.0,0.25,0.25,5.0,1.0,2012.5,2.0,1.0,32.0,19.0,1.0,0.19732876283994705,4.0,19.0,0.2668539325842693,0.2668539325842693,0.19732876283994705,,5.954415954415955,0.9544159544159552,,,,,,,,,,0.12987229578353177,14.0
