a7,name_knows,edu_knows,job_knows,L_knows,L_knows_norm
100.0,-0.88658863,-0.3633802,-0.22021286,-0.69216263,0.12201257
101.0,0.288386,-0.011248629,0.4877396,0.28714606,0.44539413
102.0,-0.3830281,-0.1873144,0.11690736,-0.21617596,0.2791901
103.0,-0.7187351,0.34088293,0.1843314,-0.099584766,0.31769016
104.0,-0.5508816,-0.1873144,-0.25392488,-0.47299525,0.19438472
105.0,-0.047321036,0.86908025,0.4877396,0.6243056,0.55672896
106.0,-0.3830281,0.5169487,0.11690736,0.1195826,0.3900623
107.0,0.12053248,0.34088293,-0.439341,0.010523994,0.35404962
108.0,0.288386,-0.011248629,-0.25392488,0.011066579,0.3542288
109.0,-0.21517456,-0.3633802,-0.25392488,-0.39688602,0.21951707
110.0,0.62409306,-0.1873144,-0.06850876,0.17557324,0.40855122
111.0,0.62409306,-0.011248629,0.58887565,0.5495263,0.5320358
112.0,0.288386,0.5169487,0.1843314,0.4645015,0.5039594
113.0,-0.5508816,0.6930145,0.8585718,0.4770875,0.5081155
114.0,0.79194653,-0.1873144,-0.25392488,0.16720024,0.40578634
115.0,0.12053248,0.16481715,0.30232346,0.28017405,0.44309187
116.0,0.288386,0.16481715,0.6731557,0.5369934,0.52789724
117.0,0.12053248,-0.1873144,-0.22021286,-0.12807634,0.30828184
118.0,0.288386,-0.3633802,0.30232346,0.10837959,0.3863629
119.0,0.288386,-0.011248629,0.11690736,0.1878614,0.41260892
120.0,-0.047321036,0.16481715,-0.06850876,0.023354754,0.3582865
121.0,0.288386,0.6930145,-0.06850876,0.43522254,0.4942911
122.0,-0.1672164,0.03905588,0.5733163,0.19270514,0.4142084
123.0,0.12053248,-0.011248629,0.11690736,0.10783698,0.38618374
124.0,-0.047321036,-0.71551174,-0.06850876,-0.39634344,0.21969624
125.0,1.1276536,0.6930145,0.11690736,0.9237422,0.65560716
126.0,0.288386,0.34088293,-0.06850876,0.26734325,0.43885496
200.0,,-0.71551174,-0.6247571,-0.6389753,0.13957576
201.0,,-0.71551174,-0.6247571,-0.6389753,0.13957576
202.0,,-0.71551174,-0.6247571,-0.6389753,0.13957576
203.0,,-0.71551174,-0.45360377,-0.5573777,0.16652045
204.0,0.288386,-0.011248629,0.30232346,0.27625886,0.441799
205.0,-0.21517456,-0.011248629,-0.422485,-0.29258302,0.2539594
206.0,0.12053248,0.16481715,0.36412886,0.26624012,0.4384907
207.0,,-0.71551174,-0.6247571,-0.6389753,0.13957576
208.0,,-0.71551174,-0.6247571,-0.6389753,0.13957576
209.0,0.288386,0.34088293,-0.06850876,0.26734328,0.43885496
210.0,,-0.71551174,-0.6247571,-0.6389753,0.13957576
211.0,0.45623952,-0.3633802,0.11690736,0.100006595,0.38359803
212.0,0.95980006,0.5169487,0.30232346,0.8481755,0.630654
213.0,-0.047321036,-0.3633802,0.11690736,-0.14006674,0.30432242
214.0,-0.21517456,0.34088293,-0.017940728,0.05209111,0.36777568
215.0,-0.047321036,0.86908025,0.30232346,0.53590816,0.5275389
216.0,-0.047321036,-0.011248629,-0.06850876,-0.06058487,0.33056846
217.0,0.45623952,-0.53944594,0.11690736,0.016066954,0.35588
218.0,-0.88658863,-0.53944594,-0.25392488,-0.8009234,0.08609822
219.0,-0.2668218,-0.22794497,-0.25392488,-0.34762773,0.23578286
220.0,-0.047321036,0.16481715,0.30232346,0.20014961,0.4166667
221.0,-0.5508816,-0.1873144,0.26524025,-0.24655807,0.2691575
222.0,0.12053248,0.5169487,0.04274091,0.3209008,0.45654044
223.0,1.1276536,0.86908025,0.4877396,1.1844766,0.74170536
224.0,0.12053248,-0.53944594,-0.439341,-0.4091742,0.21545933
225.0,0.12053248,-0.1873144,0.30232346,0.11229476,0.38765576
226.0,0.288386,0.6930145,0.30232346,0.6120174,0.55267125
227.0,-0.21517456,0.16481715,0.58887565,0.23334375,0.42762786
228.0,-0.7187351,-0.3633802,-0.06850876,-0.5485619,0.16943155
229.0,0.288386,0.6930145,0.79114777,0.8136334,0.6192477
230.0,-0.047321036,-0.1873144,0.11690736,-0.07006104,0.3274393
231.0,0.21208894,0.6289906,-0.017940728,0.3924327,0.48016128
232.0,0.66282845,-0.065422714,-0.017940728,0.27757674,0.44223422
233.0,0.028976018,0.6289906,0.38660353,0.49800038,0.5150212
234.0,-0.7187351,-0.53944594,-0.6247571,-0.87287265,0.062339555
235.0,0.95980006,-0.3633802,0.6731557,0.6052722,0.5504439
236.0,-0.3830281,-0.53944594,-0.6247571,-0.737645,0.10699366
237.0,-0.88658863,-0.71551174,-0.6247571,-1.0616579,-7.332227e-17
238.0,0.12053248,-0.011248629,0.11690736,0.107836984,0.38618374
239.0,-0.5508816,-0.53944594,-0.439341,-0.72927195,0.10975853
240.0,-0.21517456,-0.1873144,0.11690736,-0.13615154,0.30561528
