a7,rouge,geo_stratum,jontax,stratum_jon,commune,joncomp2016,salongo_freq,collect_ever,collect_what_1,chef_stratum,comp_stratum,stratum
638.0,0.0,10.0,0.0,18.0,5.0,1.0,4,0,0.0,2.0,1.0,42.0
639.0,0.0,10.0,1.0,17.0,5.0,1.0,7,1,1.0,2.0,1.0,45.0
640.0,0.0,10.0,1.0,18.0,5.0,1.0,4,0,0.0,1.0,1.0,44.0
641.0,0.0,10.0,1.0,16.0,5.0,2.0,7,1,1.0,2.0,2.0,47.0
642.0,0.0,10.0,0.0,8.0,5.0,1.0,4,0,0.0,1.0,1.0,42.0
643.0,0.0,10.0,1.0,16.0,5.0,2.0,4,0,0.0,1.0,2.0,46.0
644.0,0.0,10.0,0.0,18.0,5.0,1.0,4,1,1.0,2.0,1.0,43.0
645.0,0.0,10.0,0.0,18.0,5.0,1.0,4,1,1.0,2.0,1.0,43.0
646.0,0.0,10.0,1.0,18.0,5.0,1.0,4,1,1.0,2.0,1.0,45.0
647.0,0.0,10.0,1.0,17.0,5.0,1.0,3,0,0.0,2.0,1.0,44.0
648.0,0.0,10.0,1.0,18.0,5.0,1.0,4,1,1.0,2.0,1.0,45.0
649.0,0.0,10.0,1.0,16.0,5.0,1.0,4,0,0.0,1.0,1.0,44.0
650.0,0.0,10.0,1.0,18.0,5.0,2.0,8,0,0.0,2.0,2.0,46.0
651.0,0.0,10.0,1.0,16.0,5.0,2.0,4,1,1.0,1.0,2.0,47.0
652.0,0.0,10.0,0.0,17.0,5.0,1.0,4,1,1.0,2.0,1.0,43.0
653.0,0.0,10.0,1.0,17.0,5.0,1.0,4,1,1.0,1.0,1.0,45.0
654.0,0.0,10.0,0.0,17.0,5.0,1.0,4,1,1.0,1.0,1.0,43.0
655.0,0.0,10.0,1.0,16.0,5.0,1.0,4,0,0.0,1.0,1.0,44.0
656.0,0.0,10.0,1.0,17.0,5.0,1.0,4,0,0.0,1.0,1.0,44.0
657.0,0.0,10.0,0.0,17.0,5.0,1.0,4,1,1.0,2.0,1.0,43.0
658.0,0.0,10.0,1.0,18.0,5.0,1.0,4,1,1.0,2.0,1.0,45.0
660.0,0.0,10.0,1.0,16.0,5.0,2.0,4,0,0.0,,2.0,46.0
661.0,0.0,10.0,0.0,18.0,5.0,1.0,4,1,1.0,1.0,1.0,43.0
662.0,0.0,10.0,0.0,16.0,5.0,1.0,4,1,1.0,1.0,1.0,43.0
663.0,0.0,10.0,1.0,18.0,5.0,1.0,5,1,1.0,1.0,1.0,45.0
664.0,0.0,10.0,0.0,7.0,5.0,1.0,0,1,1.0,2.0,1.0,43.0
667.0,0.0,12.0,1.0,13.0,5.0,1.0,0,1,1.0,2.0,1.0,55.0
668.0,0.0,12.0,1.0,14.0,5.0,1.0,0,1,1.0,2.0,1.0,55.0
669.0,0.0,10.0,1.0,15.0,5.0,1.0,0,1,1.0,2.0,1.0,45.0
670.0,0.0,10.0,1.0,15.0,5.0,2.0,4,0,0.0,1.0,2.0,46.0
671.0,0.0,12.0,1.0,14.0,5.0,1.0,4,0,0.0,1.0,1.0,54.0
672.0,0.0,12.0,1.0,13.0,5.0,1.0,4,0,0.0,2.0,1.0,54.0
673.0,0.0,12.0,1.0,13.0,5.0,2.0,2,0,0.0,1.0,1.0,54.0
674.0,0.0,10.0,0.0,14.0,5.0,1.0,2,0,0.0,1.0,1.0,42.0
675.0,0.0,11.0,1.0,14.0,5.0,2.0,4,0,0.0,2.0,1.0,50.0
676.0,0.0,11.0,1.0,14.0,5.0,2.0,2,0,0.0,1.0,1.0,50.0
677.0,0.0,11.0,1.0,14.0,5.0,2.0,2,0,0.0,1.0,1.0,50.0
678.0,0.0,11.0,1.0,14.0,5.0,1.0,2,0,0.0,1.0,1.0,50.0
679.0,0.0,11.0,0.0,14.0,5.0,1.0,1,1,1.0,1.0,1.0,49.0
680.0,0.0,11.0,1.0,14.0,5.0,2.0,1,0,0.0,2.0,1.0,50.0
681.0,0.0,11.0,1.0,15.0,5.0,2.0,1,0,0.0,2.0,1.0,50.0
682.0,0.0,12.0,1.0,14.0,5.0,2.0,2,0,0.0,1.0,1.0,54.0
683.0,0.0,11.0,1.0,13.0,5.0,2.0,4,0,0.0,2.0,1.0,50.0
685.0,0.0,12.0,1.0,13.0,5.0,1.0,3,1,1.0,2.0,1.0,55.0
686.0,0.0,12.0,0.0,15.0,5.0,1.0,3,1,1.0,2.0,1.0,53.0
687.0,0.0,12.0,1.0,14.0,5.0,2.0,4,1,1.0,2.0,1.0,55.0
688.0,0.0,11.0,0.0,15.0,5.0,1.0,4,1,1.0,2.0,1.0,49.0
689.0,0.0,11.0,0.0,13.0,5.0,1.0,0,0,0.0,1.0,1.0,48.0
691.0,0.0,11.0,0.0,14.0,5.0,1.0,4,1,1.0,2.0,1.0,49.0
692.0,0.0,12.0,1.0,14.0,5.0,2.0,4,1,1.0,2.0,1.0,55.0
693.0,0.0,11.0,1.0,15.0,5.0,1.0,4,0,0.0,2.0,1.0,50.0
694.0,0.0,11.0,0.0,15.0,5.0,1.0,4,1,1.0,2.0,1.0,49.0
695.0,0.0,12.0,0.0,14.0,5.0,1.0,2,0,0.0,2.0,1.0,52.0
696.0,0.0,11.0,1.0,15.0,5.0,2.0,4,1,1.0,2.0,1.0,51.0
697.0,0.0,12.0,1.0,15.0,5.0,2.0,4,1,1.0,2.0,1.0,55.0
698.0,0.0,12.0,0.0,13.0,5.0,1.0,4,0,0.0,2.0,1.0,52.0
699.0,0.0,12.0,0.0,13.0,5.0,1.0,4,0,0.0,2.0,1.0,52.0
700.0,0.0,12.0,1.0,14.0,5.0,1.0,4,0,0.0,2.0,1.0,54.0
701.0,0.0,11.0,1.0,15.0,5.0,2.0,4,0,0.0,2.0,1.0,50.0
702.0,0.0,11.0,1.0,6.0,5.0,2.0,4,0,0.0,2.0,1.0,50.0
703.0,0.0,12.0,1.0,13.0,5.0,2.0,4,0,0.0,2.0,1.0,54.0
704.0,0.0,12.0,0.0,4.0,5.0,1.0,4,0,0.0,2.0,1.0,52.0
6091.0,0.0,9.0,0.0,21.0,5.0,1.0,4,0,0.0,1.0,1.0,36.0
6092.0,0.0,9.0,0.0,21.0,5.0,1.0,3,0,0.0,1.0,1.0,36.0
6093.0,0.0,9.0,0.0,21.0,5.0,1.0,4,1,1.0,1.0,1.0,37.0
6101.0,1.0,9.0,1.0,21.0,5.0,1.0,4,1,1.0,2.0,1.0,39.0
6102.0,1.0,9.0,1.0,21.0,5.0,1.0,4,1,1.0,2.0,1.0,39.0
6103.0,1.0,9.0,1.0,21.0,5.0,1.0,4,1,1.0,2.0,1.0,39.0
6104.0,1.0,9.0,1.0,21.0,5.0,1.0,4,1,1.0,2.0,1.0,39.0
