a7,paid,amount,grid_nm,hh_final,poly_size,stratum,program,nganza,program_start,non_residential,num_compounds,compliance,revenue_per_person
233.0,11.0,22000.0,2,108,1.0,4.0,1.0,0.0,2016-07-02,0.0,73,0.15068494,301.36987
234.0,0.0,0.0,2,130,2.0,5.0,0.0,0.0,,0.0,30,0.0,0.0
235.0,1.0,2000.0,2,190,2.0,5.0,1.0,0.0,2016-08-12,0.0,114,0.00877193,17.54386
236.0,20.0,40000.0,2,259,3.0,6.0,1.0,0.0,2016-10-25,0.0,114,0.1754386,350.8772
237.0,0.0,0.0,2,166,2.0,5.0,0.0,0.0,,0.0,31,0.0,0.0
238.0,39.0,93710.0,2,229,3.0,6.0,1.0,0.0,2016-06-16,0.0,109,0.35779816,859.7248
239.0,6.0,12000.0,2,157,2.0,5.0,1.0,0.0,2016-05-26,0.0,54,0.11111111,222.22223
240.0,25.0,50000.0,2,162,2.0,5.0,1.0,0.0,2016-06-20,0.0,106,0.23584905,471.69812
241.0,0.0,0.0,2,68,1.0,4.0,1.0,0.0,2016-09-12,0.0,28,0.0,0.0
242.0,2.0,4000.0,2,222,3.0,6.0,1.0,0.0,2016-11-04,0.0,78,0.025641026,51.28205
243.0,0.0,0.0,10,102,2.0,29.0,0.0,0.0,,0.0,122,0.0,0.0
244.0,6.0,12000.0,10,87,1.0,28.0,1.0,0.0,2016-11-08,0.0,77,0.077922076,155.84416
245.0,5.0,10000.0,10,145,2.0,29.0,1.0,0.0,2016-07-20,0.0,94,0.05319149,106.38298
246.0,0.0,0.0,10,83,1.0,28.0,1.0,0.0,2016-04-22,0.0,41,0.0,0.0
300.0,0.0,0.0,10,92,2.0,29.0,1.0,0.0,2016-06-20,0.0,43,0.0,0.0
301.0,9.0,18000.0,10,74,1.0,28.0,1.0,0.0,2016-05-16,0.0,93,0.09677419,193.54839
302.0,0.0,0.0,10,135,2.0,29.0,0.0,0.0,,0.0,150,0.0,0.0
303.0,22.0,44000.0,10,121,2.0,29.0,1.0,0.0,2016-08-08,0.0,142,0.15492958,309.85916
304.0,3.0,6000.0,10,70,1.0,28.0,1.0,0.0,2016-08-08,0.0,53,0.056603774,113.20755
305.0,0.0,0.0,10,91,1.0,28.0,0.0,0.0,,0.0,112,0.0,0.0
306.0,0.0,0.0,10,148,2.0,29.0,0.0,0.0,,0.0,138,0.0,0.0
307.0,4.0,8000.0,10,91,1.0,28.0,1.0,0.0,2016-04-18,0.0,114,0.03508772,70.17544
308.0,0.0,0.0,10,86,1.0,28.0,0.0,0.0,,0.0,135,0.0,0.0
309.0,0.0,0.0,10,136,2.0,29.0,1.0,0.0,2016-06-27,0.0,118,0.0,0.0
310.0,0.0,0.0,10,98,2.0,29.0,0.0,0.0,,0.0,48,0.0,0.0
311.0,0.0,0.0,10,82,1.0,28.0,0.0,0.0,,0.0,51,0.0,0.0
312.0,0.0,0.0,10,97,2.0,29.0,0.0,0.0,,0.0,73,0.0,0.0
313.0,0.0,0.0,10,193,3.0,30.0,0.0,0.0,,0.0,117,0.0,0.0
314.0,0.0,0.0,10,158,3.0,30.0,0.0,0.0,,0.0,73,0.0,0.0
315.0,9.0,18000.0,10,208,3.0,30.0,1.0,0.0,2016-06-11,0.0,144,0.0625,125.0
316.0,0.0,0.0,10,202,3.0,30.0,0.0,0.0,,0.0,83,0.0,0.0
317.0,8.0,12800.0,10,166,3.0,30.0,1.0,0.0,2016-07-01,0.0,68,0.11764706,188.23529
318.0,3.0,6000.0,10,135,2.0,29.0,1.0,0.0,2016-10-08,0.0,119,0.025210084,50.42017
319.0,0.0,0.0,10,293,3.0,30.0,1.0,0.0,2016-07-11,0.0,142,0.0,0.0
320.0,0.0,0.0,11,78,2.0,32.0,0.0,0.0,,0.0,74,0.0,0.0
321.0,3.0,6000.0,11,91,2.0,32.0,1.0,0.0,2016-05-16,0.0,76,0.039473683,78.947365
322.0,3.0,6000.0,11,117,3.0,33.0,1.0,0.0,2016-10-28,0.0,93,0.032258064,64.51613
323.0,0.0,0.0,11,57,1.0,31.0,0.0,0.0,,0.0,100,0.0,0.0
324.0,0.0,0.0,11,54,1.0,31.0,0.0,0.0,,0.0,54,0.0,0.0
325.0,0.0,0.0,11,75,2.0,32.0,0.0,0.0,,0.0,44,0.0,0.0
326.0,1.0,2000.0,11,52,1.0,31.0,1.0,0.0,2016-09-28,0.0,49,0.020408163,40.816326
327.0,12.0,24000.0,11,27,1.0,31.0,1.0,0.0,2016-10-24,0.0,98,0.12244898,244.89796
328.0,12.0,24000.0,11,109,2.0,32.0,1.0,0.0,2016-09-12,0.0,120,0.1,200.0
329.0,9.0,18000.0,11,121,3.0,33.0,1.0,0.0,2016-11-07,0.0,91,0.0989011,197.8022
330.0,8.0,16000.0,11,67,1.0,31.0,1.0,0.0,2016-07-15,0.0,47,0.17021276,340.42554
331.0,1.0,2000.0,11,51,1.0,31.0,1.0,0.0,2016-07-16,0.0,27,0.037037037,74.07407
332.0,0.0,0.0,11,188,3.0,33.0,0.0,0.0,,0.0,41,0.0,0.0
333.0,10.0,20000.0,11,82,2.0,32.0,1.0,0.0,2016-08-27,0.0,116,0.0862069,172.41379
334.0,0.0,0.0,11,188,3.0,33.0,0.0,0.0,,0.0,79,0.0,0.0
335.0,1.0,2000.0,10,146,2.0,29.0,1.0,0.0,2016-07-20,0.0,69,0.014492754,28.985508
336.0,0.0,0.0,10,87,1.0,28.0,0.0,0.0,,0.0,55,0.0,0.0
337.0,10.0,20000.0,10,174,3.0,30.0,1.0,0.0,2016-05-31,0.0,167,0.059880238,119.76048
338.0,0.0,0.0,10,216,3.0,30.0,0.0,0.0,,0.0,68,0.0,0.0
339.0,0.0,0.0,10,181,3.0,30.0,0.0,0.0,,0.0,121,0.0,0.0
341.0,0.0,0.0,5,59,1.0,13.0,0.0,0.0,,0.0,21,0.0,0.0
342.0,8.0,16000.0,10,92,2.0,29.0,1.0,0.0,2016-09-06,0.0,62,0.12903225,258.0645
343.0,1.0,2000.0,10,320,3.0,30.0,1.0,0.0,2016-10-28,0.0,125,0.008,16.0
344.0,5.0,10000.0,10,192,3.0,30.0,1.0,0.0,2016-09-19,0.0,146,0.034246575,68.49315
345.0,0.0,0.0,10,183,3.0,30.0,1.0,0.0,2016-04-18,0.0,121,0.0,0.0
346.0,11.0,26600.0,5,192,3.0,15.0,1.0,0.0,2016-05-20,0.0,134,0.08208955,198.50746
347.0,0.0,0.0,5,136,3.0,15.0,0.0,0.0,,0.0,56,0.0,0.0
348.0,0.0,0.0,5,81,1.0,13.0,0.0,0.0,,0.0,25,0.0,0.0
349.0,16.0,32000.0,5,72,1.0,13.0,1.0,0.0,2016-08-19,0.0,37,0.43243244,864.86487
350.0,9.0,18000.0,5,67,1.0,13.0,1.0,0.0,2016-10-28,0.0,22,0.4090909,818.1818
351.0,8.0,16000.0,5,29,1.0,13.0,1.0,0.0,2016-06-16,0.0,20,0.4,800.0
352.0,4.0,12600.0,5,39,1.0,13.0,1.0,0.0,2016-09-01,0.0,23,0.17391305,547.8261
353.0,8.0,17000.0,11,111,2.0,32.0,1.0,0.0,2016-08-27,0.0,72,0.11111111,236.11111
354.0,8.0,16000.0,11,161,3.0,33.0,1.0,0.0,2016-10-18,0.0,120,0.06666667,133.33333
355.0,2.0,4000.0,11,92,2.0,32.0,1.0,0.0,2016-05-20,0.0,42,0.04761905,95.2381
356.0,0.0,0.0,11,124,3.0,33.0,0.0,0.0,,0.0,65,0.0,0.0
357.0,21.0,42000.0,11,175,3.0,33.0,1.0,0.0,2016-05-20,0.0,193,0.10880829,217.61658
358.0,0.0,0.0,11,124,3.0,33.0,1.0,0.0,2016-08-29,0.0,83,0.0,0.0
359.0,0.0,0.0,5,48,1.0,13.0,1.0,0.0,2016-10-13,0.0,36,0.0,0.0
360.0,0.0,0.0,5,65,1.0,13.0,0.0,0.0,,0.0,34,0.0,0.0
361.0,0.0,0.0,5,56,1.0,13.0,0.0,0.0,,0.0,21,0.0,0.0
