a7,tot_compounds,tot_s1_repeats,target_surveys,prob,skip,Ordre,today,DateTerminée,Obs,program,nganza,num_poly
635.0,210,4,5.0,0.023809524,11.0,6.0,2016-06-29,,,0.0,0.0,1.0
636.0,108,4,5.0,0.046296295,5.0,17.0,2016-10-24,,,1.0,0.0,1.0
637.0,106,4,5.0,0.047169812,5.0,11.0,2016-10-15,,,0.0,0.0,1.0
638.0,185,2,6.0,0.032432433,9.0,9.0,2016-07-16,,,0.0,0.0,1.0
639.0,119,3,5.0,0.042016808,6.0,18.0,2016-10-28,,,1.0,0.0,1.0
640.0,164,4,5.0,0.030487806,8.0,3.0,2016-06-10,,,1.0,0.0,1.0
641.0,66,3,5.0,0.07575758,3.0,8.0,2016-10-07,,,1.0,0.0,1.0
642.0,83,3,5.0,0.060240965,4.0,23.0,2016-11-24,,,0.0,0.0,1.0
643.0,75,1,7.0,0.093333334,4.0,20.0,2016-11-14,,,1.0,0.0,1.0
644.0,179,2,6.0,0.033519555,9.0,6.0,2016-06-20,,,0.0,0.0,1.0
645.0,109,2,6.0,0.055045873,5.0,5.0,2016-06-15,,,0.0,0.0,1.0
646.0,203,0,8.0,0.039408866,10.0,3.0,2016-06-29,,,1.0,0.0,1.0
647.0,96,3,5.0,0.052083332,5.0,13.0,2016-08-16,,,1.0,0.0,1.0
648.0,160,4,5.0,0.03125,8.0,4.0,2016-09-09,,,1.0,0.0,1.0
649.0,57,3,5.0,0.0877193,3.0,25.0,2016-12-08,,,1.0,0.0,1.0
650.0,276,5,5.0,0.018115941,14.0,8.0,2016-07-26,,,1.0,0.0,1.0
651.0,120,4,5.0,0.041666668,6.0,10.0,2016-09-15,,,1.0,0.0,1.0
652.0,107,2,6.0,0.056074765,5.0,9.0,2016-09-08,,,0.0,0.0,1.0
653.0,179,2,6.0,0.033519555,9.0,23.0,2016-11-17,,,1.0,0.0,1.0
654.0,116,4,5.0,0.04310345,6.0,7.0,2016-10-01,,,0.0,0.0,1.0
655.0,77,2,6.0,0.077922076,4.0,12.0,2016-09-13,,,1.0,0.0,1.0
656.0,196,5,5.0,0.025510205,10.0,11.0,2016-10-27,,,1.0,0.0,1.0
657.0,95,5,5.0,0.05263158,5.0,15.0,2016-09-06,,,0.0,0.0,1.0
658.0,145,2,6.0,0.04137931,7.0,17.0,2016-10-20,,,1.0,0.0,1.0
660.0,56,3,5.0,0.08928572,3.0,1.0,2016-05-21,,,1.0,0.0,1.0
661.0,227,1,7.0,0.030837005,11.0,20.0,2016-10-27,,,0.0,0.0,1.0
662.0,47,3,5.0,0.10638298,2.0,8.0,2016-07-06,,,0.0,0.0,1.0
663.0,202,1,7.0,0.034653466,10.0,5.0,2016-07-12,,,1.0,0.0,1.0
664.0,71,4,5.0,0.07042254,4.0,7.0,2016-07-20,,,0.0,0.0,1.0
667.0,18,0,8.0,0.44444445,1.0,6.0,2016-10-05,,,1.0,0.0,1.0
668.0,86,2,6.0,0.069767445,4.0,25.0,2016-12-15,,,1.0,0.0,1.0
669.0,176,3,5.0,0.028409092,9.0,9.0,2016-08-27,,,1.0,0.0,1.0
670.0,256,2,6.0,0.0234375,13.0,23.0,2016-11-19,,,1.0,0.0,1.0
671.0,60,3,5.0,0.083333336,3.0,21.0,2016-11-24,,,1.0,0.0,1.0
672.0,50,0,8.0,0.16,3.0,16.0,2016-09-22,,,1.0,0.0,1.0
673.0,36,0,8.0,0.22222222,2.0,5.0,2016-06-30,,,1.0,0.0,1.0
674.0,86,2,6.0,0.069767445,4.0,10.0,2016-09-26,,,0.0,0.0,1.0
675.0,98,1,7.0,0.071428575,5.0,11.0,2016-09-17,,,1.0,0.0,1.0
676.0,154,3,5.0,0.032467533,8.0,12.0,2016-10-15,,,1.0,0.0,1.0
677.0,139,4,5.0,0.035971224,7.0,24.0,2016-11-29,,,1.0,0.0,1.0
678.0,112,2,6.0,0.05357143,6.0,1.0,2016-06-10,,,1.0,0.0,1.0
679.0,102,2,6.0,0.05882353,5.0,1.0,2016-05-19,,,0.0,0.0,1.0
680.0,84,2,6.0,0.071428575,4.0,4.0,2016-07-29,,,1.0,0.0,1.0
681.0,170,2,6.0,0.03529412,9.0,2.0,2016-06-23,,,1.0,0.0,1.0
682.0,98,2,6.0,0.06122449,5.0,25.0,2016-11-30,,,1.0,0.0,1.0
683.0,123,1,7.0,0.05691057,6.0,23.0,2016-11-28,,,1.0,0.0,1.0
685.0,38,2,6.0,0.15789473,2.0,23.0,2016-12-02,,,1.0,0.0,1.0
686.0,150,0,8.0,0.053333335,8.0,27.0,,,,0.0,0.0,1.0
687.0,75,4,5.0,0.06666667,4.0,4.0,2016-07-02,,,1.0,0.0,1.0
688.0,162,4,5.0,0.030864198,8.0,25.0,2016-12-02,,,0.0,0.0,1.0
689.0,105,3,5.0,0.04761905,5.0,18.0,2016-11-14,,,0.0,0.0,1.0
691.0,134,3,5.0,0.03731343,7.0,24.0,2016-12-13,,,0.0,0.0,1.0
692.0,99,3,5.0,0.05050505,5.0,24.0,2016-12-06,,,1.0,0.0,1.0
693.0,159,3,5.0,0.031446543,8.0,1.0,2016-06-28,,,1.0,0.0,1.0
694.0,258,3,5.0,0.019379845,13.0,22.0,2016-11-29,,,0.0,0.0,1.0
695.0,111,0,8.0,0.072072074,6.0,26.0,2016-12-05,,,0.0,0.0,1.0
696.0,199,3,5.0,0.025125628,10.0,22.0,2016-11-11,,,1.0,0.0,1.0
697.0,103,2,6.0,0.058252428,5.0,1.0,2016-06-20,,,1.0,0.0,1.0
698.0,54,0,8.0,0.14814815,3.0,26.0,2016-12-06,,,0.0,0.0,1.0
699.0,44,0,8.0,0.18181819,2.0,16.0,2016-10-15,,,0.0,0.0,1.0
700.0,93,2,6.0,0.06451613,5.0,5.0,2016-10-04,,,1.0,0.0,1.0
701.0,180,2,6.0,0.033333335,9.0,8.0,2016-08-16,,,1.0,0.0,1.0
702.0,192,1,7.0,0.036458332,10.0,25.0,2016-12-13,,,1.0,0.0,1.0
703.0,95,2,6.0,0.06315789,5.0,26.0,2016-12-13,,,1.0,0.0,1.0
704.0,53,2,6.0,0.11320755,3.0,26.0,2016-12-22,,,0.0,0.0,1.0
6091.0,167,2,6.0,0.011976048,7.0,18.0,2016-10-29,,,0.0,0.0,1.0
6092.0,167,2,6.0,0.011976048,7.0,18.0,2016-10-29,,,0.0,0.0,2.0
6093.0,167,2,6.0,0.011976048,7.0,18.0,2016-10-29,,,0.0,0.0,3.0
6101.0,189,5,5.0,0.0066137565,9.0,16.0,2016-10-08,,,1.0,0.0,1.0
6102.0,189,5,5.0,0.0066137565,9.0,16.0,2016-10-08,,,1.0,0.0,2.0
6103.0,189,5,5.0,0.0066137565,9.0,16.0,2016-10-08,,,1.0,0.0,3.0
6104.0,189,5,5.0,0.0066137565,9.0,16.0,2016-10-08,,,1.0,0.0,4.0
