a7,tot_compounds,tot_s1_repeats,target_surveys,prob,skip,Ordre,today,DateTerminée,Obs,program,nganza,num_poly
369.0,141,0,8.0,0.056737587,7.0,22.0,2016-11-22,,,1.0,0.0,1.0
370.0,108,1,7.0,0.06481481,5.0,27.0,2016-12-30,,,1.0,0.0,1.0
371.0,84,3,5.0,0.05952381,4.0,11.0,2016-09-22,,,0.0,0.0,1.0
372.0,236,3,5.0,0.021186441,12.0,8.0,2016-09-06,,,1.0,0.0,1.0
373.0,125,2,6.0,0.048,6.0,21.0,2016-11-24,,,1.0,0.0,1.0
374.0,82,2,6.0,0.07317073,4.0,22.0,2016-10-19,,,0.0,0.0,1.0
375.0,115,1,7.0,0.060869563,6.0,12.0,2016-09-26,,,0.0,0.0,1.0
376.0,132,1,7.0,0.053030305,7.0,14.0,2016-10-28,,,0.0,0.0,1.0
377.0,107,1,7.0,0.06542056,5.0,13.0,2016-10-01,,,0.0,0.0,1.0
378.0,86,1,7.0,0.08139535,4.0,13.0,2016-10-27,,,0.0,0.0,1.0
379.0,237,0,8.0,0.033755273,12.0,15.0,2016-11-03,,,1.0,0.0,1.0
380.0,120,3,5.0,0.041666668,6.0,18.0,2016-10-20,,,0.0,0.0,1.0
381.0,170,2,6.0,0.03529412,9.0,19.0,2016-11-12,,,0.0,0.0,1.0
382.0,176,4,5.0,0.028409092,9.0,6.0,2016-08-12,,,1.0,0.0,1.0
384.0,199,1,7.0,0.03517588,10.0,26.0,2016-12-12,,,1.0,0.0,1.0
385.0,147,2,6.0,0.040816326,7.0,5.0,2016-08-04,,,0.0,0.0,1.0
386.0,109,2,6.0,0.055045873,5.0,16.0,2016-11-05,,,0.0,0.0,1.0
387.0,194,2,6.0,0.030927835,10.0,5.0,2016-07-20,,,1.0,0.0,1.0
400.0,116,2,6.0,0.05172414,6.0,10.0,2016-09-10,,,1.0,1.0,1.0
401.0,222,5,5.0,0.022522522,11.0,24.0,2016-12-03,,,0.0,1.0,1.0
402.0,247,4,5.0,0.020242915,12.0,21.0,2016-10-19,,,1.0,1.0,1.0
403.0,139,2,6.0,0.043165468,7.0,13.0,2016-09-24,,,1.0,1.0,1.0
404.0,75,1,7.0,0.093333334,4.0,4.0,2016-07-27,,,0.0,1.0,1.0
405.0,34,3,5.0,0.14705883,2.0,6.0,2016-07-13,,,0.0,1.0,1.0
406.0,200,2,6.0,0.03,10.0,16.0,2016-09-08,,,0.0,1.0,1.0
407.0,254,5,5.0,0.01968504,13.0,5.0,2016-07-11,,,0.0,1.0,1.0
408.0,172,4,5.0,0.029069768,9.0,9.0,2016-08-04,,,1.0,1.0,1.0
409.0,177,4,5.0,0.028248588,9.0,11.0,2016-09-21,,,1.0,1.0,1.0
410.0,120,5,5.0,0.041666668,6.0,24.0,2016-11-28,,,1.0,1.0,1.0
411.0,217,4,5.0,0.023041476,11.0,25.0,2016-12-05,,,1.0,1.0,1.0
412.0,230,5,5.0,0.02173913,12.0,16.0,2016-10-19,,,0.0,1.0,1.0
413.0,280,5,5.0,0.017857144,14.0,25.0,2016-12-08,,,1.0,1.0,1.0
414.0,215,5,5.0,0.023255814,11.0,19.0,2016-10-31,,,1.0,1.0,1.0
415.0,226,2,6.0,0.026548672,11.0,11.0,2016-08-25,,,0.0,1.0,1.0
416.0,55,3,5.0,0.09090909,3.0,8.0,2016-08-22,,,0.0,1.0,1.0
417.0,104,3,5.0,0.048076924,5.0,23.0,2016-11-18,,,1.0,1.0,1.0
418.0,155,1,7.0,0.045161292,8.0,20.0,2016-11-03,,,1.0,1.0,1.0
419.0,127,3,5.0,0.03937008,6.0,13.0,2016-10-01,,,1.0,1.0,1.0
420.0,133,5,5.0,0.037593983,7.0,2.0,2016-06-15,,,1.0,1.0,1.0
421.0,94,2,6.0,0.06382979,5.0,7.0,2016-07-28,,,0.0,1.0,1.0
422.0,165,5,5.0,0.030303031,8.0,3.0,2016-06-17,,,0.0,1.0,1.0
423.0,181,3,5.0,0.027624309,9.0,8.0,2016-08-01,,,0.0,1.0,1.0
424.0,92,5,5.0,0.054347824,5.0,15.0,2016-09-20,,,1.0,1.0,1.0
425.0,45,2,6.0,0.13333334,2.0,3.0,2016-07-01,,,1.0,1.0,1.0
426.0,77,3,5.0,0.064935066,4.0,5.0,2016-06-21,,,1.0,1.0,1.0
427.0,79,3,5.0,0.06329114,4.0,11.0,2016-08-23,,,1.0,1.0,1.0
428.0,111,4,5.0,0.045045044,6.0,4.0,2016-06-18,,,1.0,1.0,1.0
429.0,74,2,6.0,0.08108108,4.0,13.0,2016-09-05,,,1.0,1.0,1.0
430.0,135,3,5.0,0.037037037,7.0,22.0,2016-11-11,,,1.0,1.0,1.0
431.0,183,3,5.0,0.027322404,9.0,25.0,2016-12-05,,,0.0,1.0,1.0
432.0,119,5,5.0,0.042016808,6.0,13.0,2016-10-04,,,0.0,1.0,1.0
433.0,89,5,5.0,0.056179777,4.0,3.0,2016-07-26,,,1.0,1.0,1.0
434.0,247,2,6.0,0.024291499,12.0,6.0,2016-07-20,,,1.0,1.0,1.0
435.0,13,2,6.0,0.46153846,1.0,7.0,2016-06-25,,,0.0,1.0,1.0
436.0,98,4,5.0,0.05102041,5.0,7.0,2016-08-06,,,1.0,1.0,1.0
437.0,88,4,5.0,0.056818184,4.0,4.0,2016-06-24,,,0.0,1.0,1.0
438.0,105,2,6.0,0.057142857,5.0,9.0,2016-07-16,,,0.0,1.0,1.0
439.0,123,4,5.0,0.040650405,6.0,27.0,,,,0.0,1.0,1.0
440.0,145,3,5.0,0.03448276,7.0,20.0,2016-11-21,,,1.0,1.0,1.0
441.0,62,2,6.0,0.09677419,3.0,15.0,2016-11-05,,,1.0,1.0,1.0
442.0,177,3,5.0,0.028248588,9.0,14.0,2016-09-07,,,1.0,1.0,1.0
443.0,74,3,5.0,0.067567565,4.0,17.0,2016-10-17,,,1.0,1.0,1.0
444.0,78,2,6.0,0.07692308,4.0,15.0,2016-10-24,,,0.0,1.0,1.0
445.0,173,4,5.0,0.028901733,9.0,26.0,2016-11-30,,,0.0,1.0,1.0
446.0,119,2,6.0,0.05042017,6.0,19.0,2016-10-29,,,0.0,1.0,1.0
