a7,treatment,month,chef_code,agent1_code,agent2_code,agent_code,chef_group,order_for_assigning
553.0,2.0,1.0,55544.0,,,,1.0,13.0
240.0,2.0,1.0,24085.0,,,,2.0,2.0
232.0,2.0,1.0,22950.0,,,,1.0,11.0
670.0,2.0,1.0,670101.0,,,,1.0,8.0
333.0,2.0,1.0,33732.0,,,,1.0,7.0
314.0,2.0,1.0,31489.0,,,,2.0,6.0
6101.0,2.0,1.0,6101077.0,,,,2.0,5.0
382.0,2.0,1.0,382117.0,,,,1.0,14.0
560.0,2.0,1.0,55544.0,,,,1.0,13.0
692.0,2.0,1.0,69282.0,,,,1.0,12.0
687.0,2.0,1.0,6915.0,,,,1.0,1.0
534.0,2.0,1.0,5333.0,,,,2.0,4.0
622.0,2.0,1.0,62295.0,,,,1.0,10.0
317.0,2.0,1.0,31489.0,,,,2.0,6.0
575.0,2.0,1.0,57688.0,,,,2.0,3.0
335.0,2.0,1.0,33732.0,,,,1.0,7.0
530.0,2.0,1.0,5333.0,,,,2.0,4.0
574.0,2.0,1.0,57688.0,,,,2.0,3.0
334.0,2.0,2.0,33732.0,,,,1.0,1.0
506.0,2.0,2.0,50649.0,,,,2.0,6.0
696.0,2.0,2.0,69647.0,,,,2.0,17.0
522.0,2.0,2.0,5226.0,,,,2.0,9.0
583.0,2.0,2.0,58210.0,,,,2.0,14.0
364.0,2.0,2.0,36589.0,,,,2.0,13.0
212.0,2.0,2.0,21256.0,,,,1.0,5.0
588.0,2.0,2.0,58671.0,,,,1.0,8.0
586.0,2.0,2.0,58671.0,,,,1.0,8.0
126.0,2.0,2.0,21647.0,,,,1.0,11.0
307.0,2.0,2.0,31489.0,,,,2.0,15.0
228.0,2.0,2.0,22952.0,,,,2.0,3.0
580.0,2.0,2.0,58210.0,,,,2.0,14.0
226.0,2.0,2.0,22510.0,,,,1.0,12.0
119.0,2.0,2.0,1193.0,,,,1.0,10.0
316.0,2.0,2.0,3196.0,,,,2.0,4.0
324.0,2.0,2.0,32276.0,,,,1.0,16.0
359.0,2.0,2.0,3599.0,,,,1.0,7.0
306.0,2.0,2.0,31489.0,,,,2.0,15.0
526.0,2.0,2.0,5333.0,,,,2.0,2.0
648.0,2.0,3.0,64491.0,,,,2.0,9.0
567.0,2.0,3.0,5854.0,,,,1.0,2.0
613.0,2.0,3.0,61189.0,,,,1.0,14.0
612.0,2.0,3.0,61293.0,,,,1.0,5.0
601.0,2.0,3.0,60183.0,,,,1.0,12.0
107.0,2.0,3.0,10746.0,,,,1.0,11.0
559.0,2.0,3.0,55885.0,,,,1.0,8.0
600.0,2.0,3.0,60183.0,,,,1.0,12.0
661.0,2.0,3.0,66187.0,,,,1.0,4.0
540.0,2.0,3.0,53859.0,,,,2.0,7.0
538.0,2.0,3.0,53859.0,,,,2.0,7.0
618.0,2.0,3.0,60383.0,,,,2.0,6.0
375.0,2.0,3.0,3762.0,,,,1.0,13.0
104.0,2.0,3.0,10248.0,,,,2.0,10.0
585.0,2.0,3.0,5854.0,,,,1.0,2.0
658.0,2.0,3.0,65792.0,,,,1.0,1.0
6091.0,2.0,3.0,61189.0,,,,1.0,14.0
615.0,2.0,3.0,60383.0,,,,2.0,6.0
645.0,2.0,3.0,64491.0,,,,2.0,9.0
593.0,2.0,3.0,60184.0,,,,2.0,3.0
602.0,2.0,4.0,60383.0,,,,2.0,5.0
124.0,2.0,4.0,11789.0,,,,2.0,15.0
547.0,2.0,4.0,54744.0,,,,1.0,4.0
331.0,2.0,4.0,33089.0,,,,2.0,1.0
655.0,2.0,4.0,65550.0,,,,2.0,2.0
682.0,2.0,4.0,6775.0,,,,1.0,3.0
680.0,2.0,4.0,68086.0,,,,1.0,12.0
616.0,2.0,4.0,60383.0,,,,2.0,5.0
386.0,2.0,4.0,38686.0,,,,1.0,11.0
677.0,2.0,4.0,6775.0,,,,1.0,3.0
664.0,2.0,4.0,66982.0,,,,2.0,13.0
634.0,2.0,4.0,63445.0,,,,1.0,14.0
501.0,2.0,4.0,50185.0,,,,2.0,9.0
242.0,2.0,4.0,24248.0,,,,1.0,16.0
644.0,2.0,4.0,64491.0,,,,2.0,10.0
695.0,2.0,4.0,69583.0,,,,1.0,8.0
551.0,2.0,4.0,55048.0,,,,2.0,6.0
703.0,2.0,4.0,70485.0,,,,2.0,7.0
653.0,2.0,5.0,6543.0,,,,2.0,14.0
509.0,2.0,5.0,50894.0,,,,2.0,5.0
303.0,2.0,5.0,30490.0,,,,1.0,12.0
365.0,2.0,5.0,36586.0,,,,1.0,1.0
327.0,2.0,5.0,3277.0,,,,1.0,4.0
213.0,2.0,5.0,21985.0,,,,2.0,8.0
566.0,2.0,5.0,56644.0,,,,1.0,11.0
513.0,2.0,5.0,51289.0,,,,1.0,9.0
326.0,2.0,5.0,32686.0,,,,1.0,7.0
621.0,2.0,5.0,62187.0,,,,2.0,3.0
111.0,2.0,5.0,11146.0,,,,1.0,6.0
120.0,2.0,5.0,12110.0,,,,2.0,10.0
121.0,2.0,5.0,12110.0,,,,2.0,10.0
539.0,2.0,5.0,53987.0,,,,1.0,13.0
358.0,2.0,5.0,35797.0,,,,2.0,2.0
500.0,2.0,6.0,30546.0,,,,2.0,14.0
354.0,2.0,6.0,35410.0,,,,1.0,12.0
514.0,2.0,6.0,5146.0,,,,1.0,6.0
361.0,2.0,6.0,37745.0,,,,2.0,9.0
380.0,2.0,6.0,37988.0,,,,2.0,3.0
234.0,2.0,6.0,23449.0,,,,2.0,10.0
214.0,2.0,6.0,21432.0,,,,2.0,11.0
351.0,2.0,6.0,3518.0,,,,1.0,1.0
310.0,2.0,6.0,31085.0,,,,1.0,7.0
339.0,2.0,6.0,33983.0,,,,1.0,5.0
370.0,2.0,6.0,37051.0,,,,1.0,13.0
515.0,2.0,6.0,51611.0,,,,2.0,4.0
674.0,2.0,6.0,67483.0,,,,1.0,2.0
663.0,2.0,6.0,66311.0,,,,2.0,8.0
118.0,2.0,7.0,11887.0,,,,,1.0
