compound1,a7,dist_col1,dist_col2,dist_col_avg,dist_chief,dist_city_center
101206.0,101.0,8.48072036219031,,8.4807205,,5.037582726252235
101039.0,101.0,8.66017329002294,,8.660173,,5.321040304407219
587063.0,587.0,1.6397255479134163,,1.6397256,,4.272305451487426
589060.0,589.0,1.4672100437741014,,1.46721,,4.623857097194665
587174.0,587.0,1.376531209276751,,1.3765312,,4.217739989355688
587128.0,587.0,1.2715444693611644,,1.2715445,,4.334401526796189
320122.0,320.0,9.637019969880747,,9.63702,,4.717347683705333
587095.0,587.0,1.654921120343937,,1.6549212,,4.136245367402805
589007.0,589.0,1.4463090289079272,,1.446309,,4.781794992924726
589003.0,589.0,1.4848939615424266,,1.4848939,,4.837457494915335
320042.0,320.0,9.807480640927206,,9.807481,,4.889451835790808
587138.0,587.0,1.40047600684132,,1.400476,,4.134847175747541
589043.0,589.0,1.4650198018265508,,1.4650198,,4.460054288403188
320131.0,320.0,9.585068570049767,,9.585069,,4.665471345913149
587081.0,587.0,1.7289160144318523,,1.728916,,4.166766661758463
587210.0,587.0,1.4632450091435227,,1.463245,,4.263739466949328
101189.0,101.0,8.51214859445242,,8.512149,,5.125448421697909
320092.0,320.0,9.693650668712943,,9.69365,,4.773976590839544
320113.0,320.0,9.765620599126514,,9.76562,,4.849857805034706
101185.0,101.0,8.516481864205801,,8.516481,,5.1518767883444845
589009.0,589.0,1.463246530296518,,1.4632466,,4.757828970419647
320100.0,320.0,9.739133217082454,,9.739133,,4.819932505215486
587066.0,587.0,1.6705715626371747,,1.6705716,,4.275817838677576
676072.0,676.0,6.418758287042689,,6.4187584,,2.1977315388697507
320125.0,320.0,9.62815831757962,,9.628159,,4.708414774513247
587164.0,587.0,1.6208108220265756,,1.6208109,,4.1361224715141525
320045.0,320.0,9.748835477638643,,9.748836,,4.831005746931401
589084.0,589.0,1.5524178713074417,,1.5524179,,4.792161887719367
676123.0,676.0,6.121189892319643,,6.12119,,2.1531076445307233
587130.0,587.0,1.3370425209129322,,1.3370426,,4.269155924983812
676059.0,676.0,6.461035106550211,,6.4610353,,2.224047015596675
676065.0,676.0,6.4330633830576955,,6.4330635,,2.2446603679435198
587114.0,587.0,1.5143080352989517,,1.514308,,4.271079218720385
676023.0,676.0,6.268233954378942,,6.268234,,2.059908743457491
587007.0,587.0,1.6204895404377144,,1.6204896,,4.316333853296877
101024.0,101.0,8.772369999441544,,8.77237,,5.491918230574709
320012.0,320.0,9.655029056347855,,9.655029,,4.740433735197829
587132.0,587.0,1.3753147100857848,,1.3753147,,4.251748408807832
101064.0,101.0,8.618692543965894,,8.618692,,5.2743802316487045
320047.0,320.0,9.748408516521184,,9.748408,,4.831549288045583
320099.0,320.0,9.723003772873684,,9.723003,,4.803999243574397
101120.0,101.0,8.512350916193816,,8.512351,,5.211912325259902
589012.0,589.0,1.4369946724992602,,1.4369947,,4.708844570937978
589019.0,589.0,1.4209066537921595,,1.4209067,,4.6114654234554715
587142.0,587.0,1.4281167595057673,,1.4281168,,4.174968866436726
676062.0,676.0,6.514505203389083,,6.5145054,,2.2991200265635188
320105.0,320.0,9.706327614455597,,9.706327,,4.788167228592727
101101.0,101.0,8.532565113540027,,8.532565,,5.3106099330971785
676016.0,676.0,6.16960847545248,,6.1696086,,2.0266012101814193
676124.0,676.0,6.129982197741909,,6.129982,,2.1617400532191575
676063.0,676.0,6.470026205912855,,6.470026,,2.2748885470077127
587088.0,587.0,1.6703507750781226,,1.6703508,,4.152309078324828
320046.0,320.0,9.737230173556881,,9.73723,,4.819712276716765
320130.0,320.0,9.624976786559314,,9.624977,,4.705309097137412
101075.0,101.0,8.663748174872223,,8.663748,,5.4364075396617055
676081.0,676.0,6.320032031424075,,6.320032,,2.140384805425797
676014.0,676.0,6.167108731280985,,6.1671085,,2.0483090326359417
101144.0,101.0,8.629823632537338,,8.629824,,5.249916966738544
101165.0,101.0,8.518439005177797,,8.518439,,5.18224871587957
676022.0,676.0,6.244302468915416,,6.2443023,,2.028595803087189
589010.0,589.0,1.4371748827896147,,1.4371749,,4.735676288963185
587147.0,587.0,1.5088286680343805,,1.5088286,,4.103977830911646
101017.0,101.0,8.721328455942414,,8.721329,,5.479548518669466
676140.0,676.0,6.142530290648394,,6.1425304,,2.226437618069553
587123.0,587.0,1.4062684931487064,,1.4062685,,4.335200810877103
587048.0,587.0,1.4563796910070201,,1.4563797,,4.338322258584047
320003.0,320.0,9.533095976774238,,9.533096,,4.616696514217803
320116.0,320.0,9.697059744228513,,9.69706,,4.778209781454104
589065.0,589.0,1.4697441804614613,,1.4697442,,4.669426643422596
676074.0,676.0,6.359917155401719,,6.359917,,2.1478759508136305
587208.0,587.0,1.4970884657863621,,1.4970884,,4.235138125123955
101078.0,101.0,8.644775576459164,,8.644775,,5.440894012516679
676141.0,676.0,6.126375955187223,,6.126376,,2.2043811979389427
589054.0,589.0,1.4766523101112181,,1.4766523,,4.550503919650738
320049.0,320.0,9.703637938965747,,9.703638,,4.787505357615138
320078.0,320.0,9.672371655768996,,9.672372,,4.754044938011815
101089.0,101.0,8.608371833583242,,8.608372,,5.382090957534542
676037.0,676.0,6.19008391135958,,6.190084,,2.0660371459058027
320007.0,320.0,9.573350638818383,,9.573351,,4.656748048092247
589027.0,589.0,1.389175365908098,,1.3891754,,4.54979676165615
587028.0,587.0,1.373497445789771,,1.3734975,,4.375879277996786
587199.0,587.0,1.5647123349457568,,1.5647123,,4.22285864470227
320051.0,320.0,9.691323289683183,,9.691323,,4.775507322663062
587064.0,587.0,1.643882573563876,,1.6438826,,4.268549769409105
676082.0,676.0,6.2834070140265865,,6.283407,,2.1218323011170805
589076.0,589.0,1.4819431353044163,,1.4819431,,4.766670223988323
320091.0,320.0,9.770498438879143,,9.770498,,4.85078097144187
101113.0,101.0,8.560327500830995,,8.560328,,5.2739532163259275
587108.0,587.0,1.6149023221571717,,1.6149024,,4.228251412501752
101123.0,101.0,8.518051160642635,,8.518051,,5.251912111866777
587112.0,587.0,1.5572263134403541,,1.5572263,,4.271390326657281
676100.0,676.0,6.260244073353046,,6.260244,,2.137613888055445
589080.0,589.0,1.5063500677257609,,1.50635,,4.794772902272344
320110.0,320.0,9.725245768537004,,9.725245,,4.808840810304434
320062.0,320.0,9.564402417664219,,9.564403,,4.646656419537242
101207.0,101.0,8.504398802021361,,8.504398,,5.054137825402718
676087.0,676.0,6.399500743532131,,6.399501,,2.23436705631586
587054.0,587.0,1.5241001053512162,,1.5241001,,4.3113227880929
